name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Kuga,/used-cars/for-sale/ford/kuga/2013/trend/tf-awd/3647023,9990,"180,001 - 200,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2013,Ford
Forester,/used-cars/for-sale/subaru/forester/2012/xs-premium/s3-my12-awd/3626261,10990,"160,001 - 180,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2012,Subaru
Grand,/used-cars/for-sale/jeep/grand-cherokee/2013/laredo/wk-my14-4x4-constant/3630428,10990,"120,001 - 140,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2013,Jeep
X-TRAIL,/used-cars/for-sale/nissan/x-trail/2012/st/t31-series-v/3664026,10990,"140,001 - 160,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2012,Nissan
2008,/used-cars/for-sale/peugeot/2008/2017/allure/a94-my17/3623168,11490,"80,001 - 100,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2017,Peugeot
Trax,/used-cars/for-sale/holden/trax/2016/ls/tj-my17/3647739,12990,"60,001 - 80,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2016,Holden
Trax,/used-cars/for-sale/holden/trax/2016/ltz/tj-my17/3649005,12990,"140,001 - 160,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2016,Holden
Cherokee,/used-cars/for-sale/jeep/cherokee/2015/sport/kl-my15/3649009,12990,"120,001 - 140,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2015,Jeep
Grand,/used-cars/for-sale/jeep/grand-cherokee/2014/laredo/wk-my14-4x4-dual-range/3654931,12990,"160,001 - 180,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2014,Jeep
Escape,/used-cars/for-sale/ford/escape/2016/trend/zg-awd/3630430,13990,"100,001 - 120,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2016,Ford
Santa,/used-cars/for-sale/hyundai/santa-fe/2016/elite/dm3-series-ii-my17-4x4-on-demand/3631350,13990,"200,001+",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2016,Hyundai
Tucson,/used-cars/for-sale/hyundai/tucson/2020/active/tl4-my20/3636966,13990,"200,001+",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2020,Hyundai
Sportage,/used-cars/for-sale/kia/sportage/2014/sli/sl-series-ii-my13-4x4-on-demand/3665403,13990,"140,001 - 160,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2014,Kia
X-TRAIL,/used-cars/for-sale/nissan/x-trail/2017/st-l/t32-series-ii/3604154,14990,"140,001 - 160,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2017,Nissan
T60,/used-cars/for-sale/ldv/t60/2019/pro/sk8c-4x4-dual-range/3643407,15990,"100,001 - 120,000",Manual,Diesel,SUV,20251105,brisbaneautogroup,2019,LDV
RAV4,/used-cars/for-sale/toyota/rav4/2016/gx/zsa42r/3594268,16990,"140,001 - 160,000",Manual,Petrol,SUV,20251105,brisbaneautogroup,2016,Toyota
ASX,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my18/3629199,16990,"100,001 - 120,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2017,Mitsubishi
Acadia,/used-cars/for-sale/holden/acadia/2018/lt/ac-my19/3664025,16990,"140,001 - 160,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2018,Holden
ZS,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657423,17490,"40,001 - 60,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2023,MG
ZS,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657426,17490,"40,001 - 60,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2023,MG
CX-3,/used-cars/for-sale/mazda/cx-3/2017/stouring/dk/3546871,17990,"100,001 - 120,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2017,Mazda
Santa,/used-cars/for-sale/hyundai/santa-fe/2014/elite/dm-my14-4x4-on-demand/3625073,17990,"120,001 - 140,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2014,Hyundai
ASX,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my17/3625074,17990,"100,001 - 120,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2017,Mitsubishi
Q7,/used-cars/for-sale/audi/q7/2016/tdi/4m-my17-four-wheel-drive/3626066,17990,"200,001+",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2016,Audi
Colorado,/used-cars/for-sale/holden/colorado-7/2015/lt/rg-my16-4x4-dual-range/3643406,17990,"180,001 - 200,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2015,Holden
Outlander,/used-cars/for-sale/mitsubishi/outlander/2016/ls/zk-my16/3644191,17990,"100,001 - 120,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2016,Mitsubishi
XV,/used-cars/for-sale/subaru/xv/2016/2.0i-s/g4x-my16-awd/3645003,17990,"100,001 - 120,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2016,Subaru
CR-V,/used-cars/for-sale/honda/cr-v/2015/limited-edition/rm-series-ii-my17-4x4-on-demand/3664421,17990,"120,001 - 140,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2015,Honda
Colorado,/used-cars/for-sale/holden/colorado-7/2015/lt/rg-my16-4x4-dual-range/3636960,18990,"180,001 - 200,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2015,Holden
CR-V,/used-cars/for-sale/honda/cr-v/2017/vti/rw-my18/3639558,18990,"140,001 - 160,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2017,Honda
Amarok,/used-cars/for-sale/volkswagen/amarok/2017/tdi550-highline/2h-my17-4x4-constant/3597834,21990,"180,001 - 200,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2017,Volkswagen
,/used-cars/for-sale/mercedes-benz/gla-class/2015/gla250/x156-four-wheel-drive/3644853,21990,"80,001 - 100,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2015,Mercedes
Korando,/used-cars/for-sale/ssangyong/korando/2019/ultimate-le/c300-my20-awd/3656715,21990,"20,001 - 40,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2019,SsangYong
Rover,/used-cars/for-sale/land-rover/discovery/2014/tdv6/series-4-my15-4x4-dual-range/3604153,22990,"160,001 - 180,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2014,Land
Colorado,/used-cars/for-sale/holden/colorado/2015/ls-x/rg-my16-4x4-dual-range/3636957,22990,"160,001 - 180,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2015,Holden
D90,/used-cars/for-sale/ldv/d90/2018/deluxe/sv9a/3585267,23990,"60,001 - 80,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2018,LDV
Grand,/used-cars/for-sale/jeep/grand-cherokee/2020/night-eagle/wk-my20-4x4-dual-range/3596713,23990,"140,001 - 160,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2020,Jeep
Colorado,/used-cars/for-sale/holden/colorado/2016/z71/rg-my17-4x4-dual-range/3626065,23990,"180,001 - 200,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2016,Holden
,/used-cars/for-sale/mercedes-benz/m-class/2013/ml350-bluetec/w166-4x4-constant/3645001,23990,"80,001 - 100,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2013,Mercedes
Landcruiser,/used-cars/for-sale/toyota/landcruiser/2002/gxl/fzj105r-4x4-constant/3605735,24990,"200,001+",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2002,Toyota
Ranger,/used-cars/for-sale/ford/ranger/2016/xlt/px-mkii-4x4-dual-range/3605738,24990,"160,001 - 180,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2016,Ford
Rover,/used-cars/for-sale/land-rover/discovery-sport/2016/sd4-hse/l550-my16.5-4x4-constant/3643412,24990,"80,001 - 100,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2016,Land
BT-50,/used-cars/for-sale/mazda/bt-50/2015/xtr/up-4x4-dual-range/3647910,24990,"180,001 - 200,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2015,Mazda
T60,/used-cars/for-sale/ldv/t60/2022/max-pro/sk8c-4x4-dual-range/3615635,26990,"60,001 - 80,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2022,LDV
A4,/used-cars/for-sale/audi/a4/2019/allroad-45-tfsi/b9-my19-4x4-on-demand/3638510,26990,"120,001 - 140,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2019,Audi
FJ,/used-cars/for-sale/toyota/fj-cruiser/2012/gsj15r-4x4-dual-range/3644028,26990,"200,001+",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2012,Toyota
Navara,/used-cars/for-sale/nissan/navara/2019/rx/d23-series-3-4x4-dual-range/3656662,27990,"80,001 - 100,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2019,Nissan
C-HR,/used-cars/for-sale/toyota/c-hr/2019/koba/ngx10r/3602378,28990,"20,001 - 40,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2019,Toyota
Ranger,/used-cars/for-sale/ford/ranger/2018/raptor/px-mkiii-my19-4x4-dual-range/3605736,28990,"200,001+",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2018,Ford
Colorado,/used-cars/for-sale/holden/colorado/2018/ltz/rg-my19-4x4-dual-range/3647008,28990,"140,001 - 160,000",Automatic,Diesel,SUV,20251105,brisbaneautogroup,2018,Holden
Tucson,/used-cars/for-sale/hyundai/tucson/2022/n-line/nx4.v2-my23/3635088,29990,"60,001 - 80,000",Automatic,Petrol,SUV,20251105,brisbaneautogroup,2022,Hyundai
