name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
CX-5,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19810167194048/,17990,"120,001 - 140,000",Automatic,Petrol,SUV,20251118,cars24,2016,Mazda
CX-9,https://www.cars24.com.au/buy-used-mazda-cx-9-car-19255890477952/,33690,"80,001 - 100,000",Automatic,Petrol,SUV,20251118,cars24,2022,Mazda
CX-3,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19711270915136/,24290,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2022,Mazda
Tucson,https://www.cars24.com.au/buy-used-hyundai-tucson-car-19141859569920/,22790,"80,001 - 100,000",Automatic,Petrol,SUV,20251118,cars24,2020,Hyundai
Tiguan,https://www.cars24.com.au/buy-used-volkswagen-tiguan-car-19571176049024/,32890,"80,001 - 100,000",Automatic,Petrol,SUV,20251118,cars24,2021,Volkswagen
RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-18939754694272/,31590,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2020,Toyota
X-trail,https://www.cars24.com.au/buy-used-nissan-x-trail-car-19583688707840/,21290,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2020,Nissan
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-19561571161216/,35290,"40,001 - 60,000",Automatic,Hybrid,SUV,20251118,cars24,2023,Toyota
CX-3,https://www.cars24.com.au/buy-used-mazda-cx-3-car-20058255510784/,24990,"20,001 - 40,000",Automatic,Petrol,SUV,20251118,cars24,2022,Mazda
RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-19653296538112/,34790,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2023,Toyota
CX-9,https://www.cars24.com.au/buy-used-mazda-cx-9-car-19201574737920/,24590,"100,001 - 120,000",Automatic,Petrol,SUV,20251118,cars24,2016,Mazda
Zst,https://www.cars24.com.au/buy-used-mg-zst-car-18782785144640/,19190,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2021,MG
Ix35,https://www.cars24.com.au/buy-used-hyundai-ix35-car-18957148734912/,15190,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2013,Hyundai
CX-3,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19098237497600/,19690,"40,001 - 60,000",Manual,Petrol,SUV,20251118,cars24,2021,Mazda
CX-30,https://www.cars24.com.au/buy-used-mazda-cx-30-car-19561491861504/,32890,"0 - 20,000",Automatic,Petrol,SUV,20251118,cars24,2021,Mazda
RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-18224718831936/,30699,"120,001 - 140,000",Automatic,Hybrid,SUV,20251118,cars24,2020,Toyota
Zst,https://www.cars24.com.au/buy-used-mg-zst-car-18827506096640/,16190,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2021,MG
Sportage,https://www.cars24.com.au/buy-used-kia-sportage-car-19732843244352/,16290,"120,001 - 140,000",Automatic,Petrol,SUV,20251118,cars24,2018,Kia
Sorento,https://www.cars24.com.au/buy-used-kia-sorento-car-19336904328512/,25590,"100,001 - 120,000",Automatic,Diesel,SUV,20251118,cars24,2017,Kia
HR-V,https://www.cars24.com.au/buy-used-honda-hr-v-car-19659210296256/,23990,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2019,Honda
Qashqai,https://www.cars24.com.au/buy-used-nissan-qashqai-car-18920021018368/,16690,"100,001 - 120,000",Automatic,Petrol,SUV,20251118,cars24,2018,Nissan
CX-5,https://www.cars24.com.au/buy-used-mazda-cx-5-car-18769424125056/,22090,"80,001 - 100,000",Automatic,Petrol,SUV,20251118,cars24,2019,Mazda
Qashqai,https://www.cars24.com.au/buy-used-nissan-qashqai-car-18752709959424/,20190,"40,001 - 60,000",Manual,Petrol,SUV,20251118,cars24,2020,Nissan
Kona,https://www.cars24.com.au/buy-used-hyundai-kona-car-18769580755200/,19490,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2017,Hyundai
Endura,https://www.cars24.com.au/buy-used-ford-endura-car-18962810650688/,21290,"80,001 - 100,000",Automatic,Diesel,SUV,20251118,cars24,2018,Ford
Zst,https://www.cars24.com.au/buy-used-mg-zst-car-19620219691072/,18490,"20,001 - 40,000",Automatic,Petrol,SUV,20251118,cars24,2021,MG
Outlander,https://www.cars24.com.au/buy-used-mitsubishi-outlander-car-19565135334272/,25490,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2020,Mitsubishi
CX-5,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19800930692480/,20090,"120,001 - 140,000",Automatic,Petrol,SUV,20251118,cars24,2015,Mazda
