name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2015 Holden Cruze JH Series II MY15 Equipe Grey 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Cruze/34078560,"$9,999","152,473 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Holden Cruze JH Series II MY15 Equipe Grey 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Cruze/34078560,"$9,999","152,473 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Holden Cruze JH Series II MY15 Equipe Grey 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Cruze/34078560,"$9,999","152,473 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Hyundai Elantra MD3 Active Black 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Hyundai-Elantra/34043923,"$9,999","178,781 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Hyundai Elantra MD3 Active Black 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Hyundai-Elantra/34043923,"$9,999","178,781 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2015 Hyundai Elantra MD3 Active Black 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Hyundai-Elantra/34043923,"$9,999","178,781 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2012 Subaru Impreza G4 MY12 2.0i AWD Silver 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Subaru-Impreza/34051624,"$9,999","176,967 Kms",Manual,Petrol - Unleaded,Sedan,20251107
2012 Subaru Impreza G4 MY12 2.0i AWD Silver 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Subaru-Impreza/34051624,"$9,999","176,967 Kms",Manual,Petrol - Unleaded,Sedan,20251107
2012 Subaru Impreza G4 MY12 2.0i AWD Silver 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Subaru-Impreza/34051624,"$9,999","176,967 Kms",Manual,Petrol - Unleaded,Sedan,20251107
2016 Subaru Impreza G4 MY16 2.0i AWD Black 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Subaru-Impreza/34059466,"$11,999","153,390 Kms",Manual,Petrol - Unleaded,Sedan,20251107
2016 Subaru Impreza G4 MY16 2.0i AWD Black 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Subaru-Impreza/34059466,"$11,999","153,390 Kms",Manual,Petrol - Unleaded,Sedan,20251107
2016 Subaru Impreza G4 MY16 2.0i AWD Black 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Subaru-Impreza/34059466,"$11,999","153,390 Kms",Manual,Petrol - Unleaded,Sedan,20251107
2013 Suzuki Kizashi FR MY13 Prestige Grey 6 Speed Constant Variable Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Suzuki-Kizashi/34054979,"$11,999","124,210 Kms",Constant Variable,Petrol - Unleaded,Sedan,20251107
2013 Suzuki Kizashi FR MY13 Prestige Grey 6 Speed Constant Variable Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Suzuki-Kizashi/34054979,"$11,999","124,210 Kms",Constant Variable,Petrol - Unleaded,Sedan,20251107
2013 Suzuki Kizashi FR MY13 Prestige Grey 6 Speed Constant Variable Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Suzuki-Kizashi/34054979,"$11,999","124,210 Kms",Constant Variable,Petrol - Unleaded,Sedan,20251107
