name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,year_made,brand
Ranger,https://www.cars24.com.au/buy-used-ford-ranger-car-19414270317568/,44290,"40,001 - 60,000",Automatic,Diesel,Ute,20251107,2022,Ford
Ute,https://www.cars24.com.au/buy-used-gwm-ute-car-19311166157504/,25795,"0 - 20,000",Automatic,Diesel,Ute,20251107,2022,GWM
Triton,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-12258166261248/,27278,"40,001 - 60,000",Automatic,Diesel,Ute,20251107,2017,Mitsubishi
Ranger,https://www.cars24.com.au/buy-used-ford-ranger-car-18544054342016/,25995,"40,001 - 60,000",Automatic,Diesel,Ute,20251107,2020,Ford
Triton,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-19150729971456/,31890,"80,001 - 100,000",Manual,Diesel,Ute,20251107,2018,Mitsubishi
Ranger,https://www.cars24.com.au/buy-used-ford-ranger-car-19561529741440/,27190,"20,001 - 40,000",Automatic,Diesel,Ute,20251107,2021,Ford
Staria,https://www.cars24.com.au/buy-used-hyundai-staria-car-19776197536000/,34290,"100,001 - 120,000",Automatic,Diesel,Van,20251107,2022,Hyundai
,https://www.cars24.com.au/buy-used-subaru-levorg-car-18077693501632/,18395,"100,001 - 120,000",Automatic,Petrol,Wagon,20251107,2016,Subaru
,https://www.cars24.com.au/buy-used-mercedes-benz-glb-car-17590721777024/,39699,"60,001 - 80,000",Automatic,Petrol,Wagon,20251107,2021,Mercedes
,https://www.cars24.com.au/buy-used-mercedes-benz-gla-car-17998770289344/,29599,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2018,Mercedes
Haval H6,https://www.cars24.com.au/buy-used-gwm-haval-h6-car-18942518083648/,29290,"20,001 - 40,000",Automatic,Hybrid,Wagon,20251107,2022,GWM
Yaris Cross,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19414145730048/,29890,"40,001 - 60,000",Automatic,Hybrid,Wagon,20251107,2023,Toyota
Captur,https://www.cars24.com.au/buy-used-renault-captur-car-18371707297856/,16595,"60,001 - 80,000",Automatic,Petrol,Wagon,20251107,2022,Renault
Carnival,https://www.cars24.com.au/buy-used-kia-carnival-car-19776350506368/,41790,"40,001 - 60,000",Automatic,Diesel,Wagon,20251107,2022,Kia
Venue,https://www.cars24.com.au/buy-used-hyundai-venue-car-19817393848448/,25990,"0 - 20,000",Automatic,Petrol,Wagon,20251107,2024,Hyundai
T-roc,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19483809821824/,27090,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2022,Volkswagen
Haval Jolion,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19823449342912/,28190,"0 - 20,000",Automatic,Hybrid,Wagon,20251107,2023,GWM
Captur,https://www.cars24.com.au/buy-used-renault-captur-car-18474761085568/,17695,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2022,Renault
T-cross,https://www.cars24.com.au/buy-used-volkswagen-t-cross-car-19553215582976/,20990,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2023,Volkswagen
XV,https://www.cars24.com.au/buy-used-subaru-xv-car-19711124506944/,22290,"80,001 - 100,000",Automatic,Petrol,Wagon,20251107,2017,Subaru
Formentor,https://www.cars24.com.au/buy-used-cupra-formentor-car-19798122474496/,43990,"20,001 - 40,000",Automatic,Petrol,Wagon,20251107,2024,Cupra
,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19585143082880/,30090,"40,001 - 60,000",Automatic,Hybrid,Wagon,20251107,2023,Toyota
XV,https://www.cars24.com.au/buy-used-subaru-xv-car-18203301272576/,16795,"60,001 - 80,000",Automatic,Petrol,Wagon,20251107,2012,Subaru
2008,https://www.cars24.com.au/buy-used-peugeot-2008-car-18215134714944/,20895,"60,001 - 80,000",Automatic,Petrol,Wagon,20251107,2021,Peugeot
ZS,https://www.cars24.com.au/buy-used-mg-zs-car-18824321833088/,18590,"0 - 20,000",Automatic,Petrol,Wagon,20251107,2023,MG
Hs +ev,https://www.cars24.com.au/buy-used-mg-hs-+ev-car-19030404437312/,26795,"20,001 - 40,000",Automatic,Hybrid,Wagon,20251107,2022,MG
Calais,https://www.cars24.com.au/buy-used-holden-calais-car-18962691769600/,22590,"140,001 - 160,000",Automatic,Petrol,Wagon,20251107,2016,Holden
ZS,https://www.cars24.com.au/buy-used-mg-zs-car-19059073738624/,18190,"0 - 20,000",Automatic,Petrol,Wagon,20251107,2023,MG
Haval H6,https://www.cars24.com.au/buy-used-gwm-haval-h6-car-19324252123840/,26190,"20,001 - 40,000",Automatic,Petrol,Wagon,20251107,2022,GWM
Haval Jolion,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19240503279616/,19890,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2021,GWM
Yaris Cross,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19063795082560/,29495,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2020,Toyota
3008,https://www.cars24.com.au/buy-used-peugeot-3008-car-18949769118784/,24690,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2022,Peugeot
Haval Jolion,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19061901485952/,21090,"20,001 - 40,000",Automatic,Petrol,Wagon,20251107,2021,GWM
Hs +ev,https://www.cars24.com.au/buy-used-mg-hs-+ev-car-18566779529920/,26399,"0 - 20,000",Automatic,Hybrid,Wagon,20251107,2022,MG
Haval Jolion,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19346676401216/,19990,"60,001 - 80,000",Automatic,Petrol,Wagon,20251107,2021,GWM
T-cross,https://www.cars24.com.au/buy-used-volkswagen-t-cross-car-19698478761088/,20490,"60,001 - 80,000",Automatic,Petrol,Wagon,20251107,2020,Volkswagen
XV,https://www.cars24.com.au/buy-used-subaru-xv-car-19325219521984/,24790,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2019,Subaru
T-roc,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19553364743744/,26590,"40,001 - 60,000",Automatic,Petrol,Wagon,20251107,2023,Volkswagen
Odyssey,https://www.cars24.com.au/buy-used-honda-odyssey-car-19223527882816/,23490,"120,001 - 140,000",Automatic,Petrol,Wagon,20251107,2017,Honda
